epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,3961.06,1.43203,0.71465,0.9731,0.82915,0.55801,0.63971,0.35212,1.37812,0.63667,0.99348,0.003961,0.003961,0.003961
63,4026.15,1.42498,0.71215,0.97037,0.83376,0.55545,0.64086,0.3526,1.37879,0.63572,0.99397,0.003862,0.003862,0.003862
64,4091.09,1.43548,0.716,0.97261,0.83127,0.55564,0.64045,0.35252,1.37989,0.63635,0.99435,0.003763,0.003763,0.003763
65,4155.98,1.42352,0.70804,0.97147,0.83395,0.5542,0.64105,0.35241,1.37998,0.63686,0.99386,0.003664,0.003664,0.003664
66,4220.27,1.42079,0.70805,0.96961,0.83482,0.55472,0.64098,0.35273,1.37898,0.63664,0.99345,0.003565,0.003565,0.003565
67,4284.04,1.41999,0.70469,0.96917,0.83686,0.55466,0.64143,0.3529,1.38002,0.63594,0.99419,0.003466,0.003466,0.003466
68,4345.37,1.41786,0.70609,0.96766,0.83541,0.55517,0.64117,0.35306,1.37942,0.63567,0.99359,0.003367,0.003367,0.003367
69,4409.49,1.41233,0.70462,0.96689,0.83396,0.5562,0.64104,0.35355,1.37686,0.63447,0.99239,0.003268,0.003268,0.003268
70,4472.55,1.41554,0.70307,0.96738,0.8319,0.55585,0.6413,0.35345,1.37721,0.63358,0.99259,0.003169,0.003169,0.003169
71,4534.45,1.41204,0.70109,0.96781,0.83412,0.55563,0.64164,0.35355,1.37618,0.63308,0.99235,0.00307,0.00307,0.00307
72,4595.77,1.41685,0.7007,0.96473,0.83251,0.55659,0.6418,0.35378,1.37694,0.63252,0.99297,0.002971,0.002971,0.002971
73,4658.9,1.40789,0.69505,0.96461,0.83681,0.55659,0.64271,0.35425,1.37624,0.63093,0.99246,0.002872,0.002872,0.002872
74,4722.47,1.40724,0.69342,0.96295,0.83667,0.55648,0.64268,0.35433,1.37642,0.63022,0.99257,0.002773,0.002773,0.002773
75,4784.34,1.39923,0.68964,0.96741,0.83692,0.55705,0.64402,0.35494,1.37615,0.62903,0.99316,0.002674,0.002674,0.002674
76,4847.59,1.39337,0.68474,0.96289,0.83505,0.55715,0.64369,0.35496,1.37578,0.62934,0.99264,0.002575,0.002575,0.002575
77,4911.25,1.39128,0.68456,0.96194,0.83513,0.55636,0.64336,0.35478,1.3756,0.62906,0.99279,0.002476,0.002476,0.002476
78,4974.02,1.39151,0.6828,0.9629,0.8372,0.55576,0.64324,0.3547,1.3758,0.62881,0.99286,0.002377,0.002377,0.002377
79,5036.99,1.40396,0.69086,0.95907,0.83736,0.55563,0.64278,0.35477,1.37595,0.62841,0.99286,0.002278,0.002278,0.002278
80,5100.14,1.39428,0.68533,0.95818,0.83736,0.55659,0.64302,0.35475,1.37582,0.62821,0.99281,0.002179,0.002179,0.002179
81,5164.18,1.38098,0.67704,0.95903,0.83873,0.55731,0.6435,0.35512,1.37601,0.62796,0.99323,0.00208,0.00208,0.00208
82,5228.62,1.38561,0.68186,0.95734,0.83876,0.55676,0.64328,0.35531,1.37593,0.6276,0.99324,0.001981,0.001981,0.001981
83,5293.63,1.39421,0.68244,0.95811,0.83984,0.55636,0.64397,0.35546,1.37619,0.62774,0.99328,0.001882,0.001882,0.001882
84,5358.79,1.37789,0.67546,0.95321,0.83776,0.55716,0.64388,0.35564,1.37683,0.62772,0.99329,0.001783,0.001783,0.001783
85,5423.82,1.37633,0.67274,0.95487,0.83989,0.55625,0.64409,0.35564,1.37756,0.62793,0.99324,0.001684,0.001684,0.001684
86,5487.82,1.37338,0.67331,0.95271,0.83995,0.55631,0.64439,0.35547,1.37797,0.62799,0.99329,0.001585,0.001585,0.001585
87,5551.93,1.37488,0.67309,0.95139,0.8418,0.5554,0.64423,0.35526,1.37912,0.62802,0.99342,0.001486,0.001486,0.001486
88,5614.83,1.36905,0.6681,0.95187,0.84127,0.55631,0.64428,0.35553,1.37973,0.62796,0.99335,0.001387,0.001387,0.001387
89,5679.43,1.3651,0.66656,0.94971,0.84023,0.55697,0.64494,0.35527,1.38053,0.62787,0.99329,0.001288,0.001288,0.001288
90,5744.08,1.37029,0.66732,0.95067,0.83966,0.55722,0.64487,0.35515,1.38088,0.62806,0.99338,0.001189,0.001189,0.001189
91,5806.11,1.34863,0.6465,0.95129,0.84019,0.55733,0.64518,0.3552,1.38161,0.6282,0.99351,0.00109,0.00109,0.00109
92,5863.79,1.337,0.6346,0.94604,0.83913,0.55807,0.64528,0.35546,1.38188,0.62823,0.99334,0.000991,0.000991,0.000991
93,5922.69,1.33085,0.63233,0.94641,0.83901,0.5579,0.64504,0.35535,1.38212,0.62854,0.99328,0.000892,0.000892,0.000892
94,5982.48,1.33243,0.63135,0.94354,0.84043,0.5572,0.64468,0.35529,1.3828,0.62838,0.99336,0.000793,0.000793,0.000793
95,6042.34,1.32198,0.62413,0.94042,0.84138,0.55676,0.64455,0.35536,1.38288,0.62843,0.99329,0.000694,0.000694,0.000694
96,6101.74,1.31785,0.62432,0.9429,0.8433,0.55619,0.64473,0.35552,1.38312,0.62834,0.99331,0.000595,0.000595,0.000595
97,6161.37,1.31198,0.6217,0.94098,0.84318,0.55631,0.64479,0.35546,1.38368,0.6289,0.99341,0.000496,0.000496,0.000496
98,6220.93,1.31594,0.62105,0.93907,0.8431,0.55625,0.64467,0.3555,1.38394,0.62875,0.99354,0.000397,0.000397,0.000397
99,6283.43,1.30629,0.61552,0.93771,0.84171,0.55602,0.644,0.35521,1.38428,0.62886,0.99359,0.000298,0.000298,0.000298
100,6346.81,1.30049,0.6119,0.93672,0.84165,0.55648,0.64447,0.35542,1.38477,0.62919,0.99364,0.000199,0.000199,0.000199
